level,held_out,n_test,n_classes_test,val_macro_f1,argmax_macro_f1,generic_macro_f1,species_macro_f1,delta_generic,delta_species,argmax_sp_recall,generic_sp_recall,species_sp_recall,argmax_sp_precision,generic_sp_precision,species_sp_precision,argmax_sp_f1,generic_sp_f1,species_sp_f1,argmax_inter_conf,generic_inter_conf,species_inter_conf,sp_n_rows
L2-coarse,DOLPHINFREE,3290,2,0.9161892773367902,0.7523453822669111,0.8037380020464143,0.6474132745174749,0.05139261977950327,-0.10493210774943618,0.9365217391304348,0.8869565217391304,0.9643478260869566,1.0,1.0,1.0,0.9672204759766502,0.9400921658986175,0.981850376272687,0.0,0.0,0.0,1150
L2-coarse,DRYAD,6770,2,0.9031979623298263,0.6555981313111041,0.772346756061464,0.5842113049708748,0.11674862475035985,-0.0713868263402293,0.9098079561042524,0.8377914951989026,0.9214677640603567,1.0,1.0,1.0,0.9527742862273298,0.9117372644150028,0.9591290380153489,0.0,0.0,0.0,2916
L2-coarse,FREMANTLE,332,1,0.9243481445912489,0.8610634648370498,0.8289241622574955,0.932475884244373,-0.03213930257955422,0.07141241940732324,0.7560240963855421,0.7078313253012049,0.8734939759036144,1.0,1.0,1.0,0.8610634648370498,0.8289241622574955,0.932475884244373,0.0,0.0,0.0,332
L2-coarse,OLTREMARE,16860,2,0.9152577304954539,0.8187884034057612,0.8275360480925207,0.7953453390532403,0.008747644686759481,-0.02344306435252086,0.6749311294765841,0.6108815426997245,0.7272727272727273,1.0,1.0,1.0,0.805921052631579,0.758443779392903,0.8421052631578947,0.0,0.0,0.0,2904
L2-coarse,Adriatic_Sea,1180,2,0.9054807833602276,0.6706874631771528,0.4886133045767095,0.7224224224224225,-0.1820741586004433,0.05173495924526972,0.6348195329087049,0.36836518046709127,0.7101910828025477,1.0,1.0,1.0,0.7766233766233767,0.5384018619084562,0.8305400372439479,0.0,0.0,0.0,942
L2-coarse,DCLDE_2026,174538,2,0.7508409419448185,0.5018471003299148,0.5168420723905037,0.47545527755153966,0.014994972060588974,-0.026391822778375096,0.5565081120943953,0.5405143805309734,0.5846699852507374,1.0,1.0,1.0,0.7150725496002369,0.7017323400053855,0.7379075652249789,0.0,0.0,0.0,21696
L2-coarse,ECOSS_enhanced,168,2,0.9002613359859537,0.6308388359011983,0.592754367934224,0.6326306811258682,-0.03808446796697429,0.001791845224669908,0.566013986013986,0.532027972027972,0.5695104895104895,1.0,1.0,1.0,0.6308388359011983,0.592754367934224,0.6326306811258682,0.0,0.0,0.0,168
L2-coarse,MONISH,617,2,0.885667706854669,0.451067615658363,0.38716148445336007,0.46764452113891286,-0.06390613120500294,0.016576905480549853,0.43112244897959184,0.3282312925170068,0.4608843537414966,0.47294776119402987,0.4718826405867971,0.4746059544658494,0.451067615658363,0.38716148445336007,0.46764452113891286,0.04700162074554295,0.03727714748784441,0.04700162074554295,617
L2-coarse,WATKINS,1877,2,0.9195800291350114,0.43900414937759336,0.4255952380952381,0.4459901800327332,-0.013408911282355274,0.006986030655139863,0.39185185185185184,0.37074074074074076,0.40370370370370373,0.4990566037735849,0.499500998003992,0.49817184643510054,0.43900414937759336,0.4255952380952381,0.4459901800327332,0.004262120404901438,0.018114011720831113,0.005327650506126798,1877
L2-coarse,ECOSS_annot,752,2,0.8923163576451327,0.3099273607748184,0.2833078101071976,0.30010172939979657,-0.02661955066762084,-0.009825631375021848,0.27467811158798283,0.1984978540772532,0.3165236051502146,0.35555555555555557,0.4946524064171123,0.2852998065764023,0.3099273607748184,0.2833078101071976,0.30010172939979657,0.13829787234042554,0.0026595744680851063,0.29521276595744683,752
L2-coarse,ALNITAK_CAVANILLES,5202,2,0.9161992308933427,0.5169054266236572,0.4978055831052562,0.5280569095529726,-0.01909984351840105,0.011151482929315337,0.10304449648711944,0.05269320843091335,0.17096018735362997,1.0,1.0,1.0,0.18683651804670912,0.10011123470522804,0.292,0.0,0.0,0.0,854
L2-coarse,ECOSS_testtrain,36044,3,0.7364342809730462,0.057178427864261076,0.09045815442939596,0.05449442578674163,0.033279726565134886,-0.002684002077519447,0.480478724214855,0.43712697480479074,0.48829318956836515,0.5128043660789253,0.5486842105263158,0.5059081379836097,0.02527119421023265,0.08784666892421845,0.011883366471529766,0.13769577598481253,0.030523255813953487,0.30760560037968676,33712
