k,macro_f1,weighted_f1,accuracy,balanced_acc
4,0.5933437081583656,0.7423018259784073,0.6735778527346222,0.6206740925977954
16,0.5932675638317136,0.7043620994875128,0.6527643985639874,0.7018925959349013
32,0.6050271255579754,0.7342286137371402,0.6945917535550344,0.7400973702822996
