variant,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_weighted_f1,test_accuracy,test_balanced_acc
1a flat joint,0.7108730633217739,0.7313158955114403,0.7313158955114403,0.8757662617179668,0.8576874905377321,0.8925093136643455
1b.i detector (binary),0.8192911789923605,0.8351701105068752,0.8351701105068752,0.9188650707389684,0.9145299145299145,0.8757094303111053
1b.ii species head (oracle),0.8618674566975706,0.8800198048866088,0.8800198048866088,0.9606620920820989,0.9599753694581281,0.9239658215581519
1b cascade (realistic),,0.7358367960225803,0.7358367960225803,0.9160842920664555,0.9107725339609397,0.8115679501274177
