held_out,exp2_joint_species_only_macro_f1,exp3_pure_species_macro_f1,delta (exp2 - exp3),exp2_n_species_test_rows,exp3_n_test_rows,exp2_frac_species_routed_to_bg
ALNITAK_CAVANILLES,0.017870664849310918,0.08957146130929647,-0.07170079645998555,438,438,0.8858447488584474
ECOSS_testtrain,0.48867100182889656,0.5421763442218992,-0.05350534239300264,127,127,0.047244094488188976
MONISH,0.07520976353928299,0.09390861902710243,-0.018698855487819438,617,617,0.2787682333873582
