held_out,n_train,n_test,n_train_classes,n_test_classes,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_weighted_f1,test_accuracy,test_balanced_acc
ECOSS_testtrain,30193,127,10,5,0.9636334589295826,0.5421763442218992,0.2710881721109496,0.4501244758160205,0.47244094488188976,0.577062937062937
WATKINS,28881,1860,9,8,0.9902897216924357,0.11013400115253183,0.09789688991336161,0.10944621225024372,0.12258064516129032,0.36235984621768935
MONISH,29581,617,10,5,0.9683720070739247,0.09390861902710243,0.046954309513551215,0.08123502798854408,0.09076175040518639,0.18722735254140394
ALNITAK_CAVANILLES,29208,438,10,5,0.9194317775557537,0.08957146130929647,0.044785730654648234,0.15202021483615394,0.0867579908675799,0.05142851807980078
