class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.7086115479469299
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.6683041453361511
background,4348,-0.26387932896614075
clicks,690,-0.2861299216747284
whistles,35,-0.4271860718727112
gloMel_clicks+turTru_clicks,106,-0.5657459497451782
