class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.7420395612716675
delphi,307,0.6627458930015564
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.6158459782600403
graGri,45,0.5936388373374939
steCoe,15,-0.03718135133385658
gloMel,121,-0.2607495188713074
gloMel_clicks+turTru_clicks,106,-0.3653523325920105
phyMac,179,-0.5594838857650757
turTru,58,-0.5857391953468323
background,4348,-0.7065527439117432
