class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.46543923020362854
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.396464079618454
background,4348,-0.21176938712596893
whistles,35,-0.21247324347496033
clicks,690,-0.24605396389961243
gloMel_clicks+turTru_clicks,106,-0.2610240578651428
