class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.5568912029266357
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.47616031765937805
gloMel_clicks+turTru_clicks,106,-0.21436890959739685
whistles,35,-0.25625795125961304
background,4348,-0.315430223941803
clicks,690,-0.3735882341861725
