class,n,silhouette
graGri,45,0.7834926843643188
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.6683041453361511
gloMel_clicks+gloMel_whistles,20,0.610397219657898
delphi,307,0.6061208248138428
gloMel,121,-0.27128124237060547
steCoe,15,-0.3649866282939911
phyMac,179,-0.5497337579727173
turTru,58,-0.5669155120849609
gloMel_clicks+turTru_clicks,106,-0.5785569548606873
background,4348,-0.6436233520507812
