class,n,silhouette
graGri,45,0.5266625881195068
gloMel_clicks+gloMel_whistles,20,0.5138280391693115
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.32509222626686096
delphi,307,0.22865146398544312
steCoe,15,-0.015366009436547756
gloMel_clicks+turTru_clicks,106,-0.24330009520053864
gloMel,121,-0.307310551404953
turTru,58,-0.38422679901123047
phyMac,179,-0.42428091168403625
background,4348,-0.541209876537323
