class,n,silhouette
delphi,307,0.6968319416046143
graGri,45,0.6917628049850464
gloMel_clicks+gloMel_whistles,20,0.5035478472709656
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.49553951621055603
steCoe,15,0.037891559302806854
gloMel,121,-0.17878447473049164
gloMel_clicks+turTru_clicks,106,-0.37276822328567505
turTru,58,-0.5023847222328186
phyMac,179,-0.611335813999176
background,4348,-0.7277411818504333
