class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.6920103430747986
graGri,45,0.605589747428894
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.3824802339076996
delphi,307,0.26953524351119995
steCoe,15,-0.003867503022775054
gloMel,121,-0.18686968088150024
gloMel_clicks+turTru_clicks,106,-0.29078537225723267
turTru,58,-0.39982718229293823
phyMac,179,-0.4470248818397522
background,4348,-0.5076938271522522
