method,species,call,raw
t-SNE/euclidean,0.11445063104232152,0.02847040891647339,0.052131112326275215
UMAP/cosine,0.09435915284686619,0.046166378259658816,-0.005883006887002425
UMAP/correlation,0.08952933177351952,0.04665555357933045,-0.011151233180002733
UMAP/euclidean,0.08447782612509197,-0.008159393072128296,-0.01817952130328525
t-SNE/cosine,0.06902677195871042,0.027925550937652588,0.0037059343673966146
t-SNE/correlation,0.061865742007891335,0.03941257297992706,0.006177798818415878
t-SNE/manhattan,0.04504703564776315,0.0288116748444736,-0.028130521489815277
UMAP/manhattan,0.037426753176583186,0.019570749998092652,-0.051900714635849
PCA/euclidean,0.024416661200424034,0.037767285108566286,-0.05817113749005578
