class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.7169803380966187
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.49553951621055603
background,4348,-0.17655616998672485
clicks,690,-0.3512972593307495
gloMel_clicks+turTru_clicks,106,-0.36963433027267456
whistles,35,-0.5323852300643921
