class,n,silhouette
gloMel_clicks+gloMel_whistles,20,0.7569102048873901
graGri,45,0.6898653507232666
delphi,307,0.6635338664054871
gloMel_clicks+gloMel_whistles+turTru_clicks+turTru_whistles,3,0.6238987445831299
steCoe,15,-0.12718330323696136
gloMel,121,-0.22798465192317963
gloMel_clicks+turTru_clicks,106,-0.39407286047935486
phyMac,179,-0.534837007522583
turTru,58,-0.6008979678153992
background,4348,-0.6940389275550842
