,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Globicephala_melas,0,0,1,98,2,1,0,4,1,2
Grampus_griseus,0,0,0,0,11,0,1,0,0,1
Physeter_macrocephalus,0,0,0,0,3,1,138,4,0,1
Stenella_coeruleoalba,0,0,0,0,0,0,0,1,0,0
Tursiops_truncatus,0,0,0,0,0,1,6,10,7,2
background,0,1,110,403,233,3,2689,325,148,404
