,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Orcinus_orca,11,367,28,3038,127,14392,139,36,1056,2486
background,476,23754,362,4343,1509,39071,2840,937,8865,70669
