,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Globicephala_melas,0,0,5,54,1,7,16,23,1,30
Grampus_griseus,0,0,0,0,1,0,19,2,0,19
Physeter_macrocephalus,0,0,0,1,0,1,58,28,0,87
Stenella_coeruleoalba,0,0,0,0,0,0,1,7,0,3
Tursiops_truncatus,0,0,0,0,0,3,6,25,1,19
background,0,0,57,189,6,6,618,1029,35,2404
