,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Tursiops_truncatus,0,129,161,39,49,237,45,0,1856,396
background,0,0,1,68,2,689,46,0,649,2395
