,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Delphinus_delphis,0,1,1084,5,6,0,0,4,24,10
background,93,0,548,157,147,34,2,57,72,1014
