,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Balaenoptera_physalus,13,0,0,0,0,0,0,0,0,0
Globicephala_melas,0,2,1,351,11,15,7,2,2,3
Grampus_griseus,0,0,1,3,87,0,5,0,1,0
Orcinus_orca,0,0,1,5,0,12,1,0,0,2
Tursiops_truncatus,0,1,0,0,1,1,0,0,9,0
