,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Balaenoptera_physalus,1,0,0,0,0,0,0,0,0,0
Globicephala_melas,0,0,1,328,10,18,10,0,2,9
Grampus_griseus,0,1,1,0,71,1,3,0,2,2
Orcinus_orca,0,0,0,1,0,3,0,0,1,0
Tursiops_truncatus,0,0,0,0,0,0,0,0,1,0
