,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Delphinus_delphis,0,15,929,11,2,1,0,8,152,28
background,46,3,324,127,16,32,6,189,165,1228
