,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Balaenoptera_physalus,20,0,0,0,4,0,1,0,0,0
Globicephala_melas,0,0,1,309,13,14,56,1,1,11
Grampus_griseus,0,0,1,15,71,11,9,0,0,2
Orcinus_orca,0,1,0,8,1,16,2,0,1,4
Tursiops_truncatus,0,0,0,12,4,4,0,1,3,0
