,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Delphinus_delphis,0,32,1,0,0,0,0,0,3,0
Globicephala_melas,0,0,0,18,0,2,0,0,2,0
Orcinus_orca,0,0,0,0,0,13,0,0,0,5
Physeter_macrocephalus,0,0,0,0,0,0,13,0,1,2
Tursiops_truncatus,0,0,0,0,0,0,0,0,15,0
background,3,359,216,227,60,238,519,29,342,33920
