,Balaenoptera_physalus,Delphinidae_unknown,Delphinus_delphis,Globicephala_melas,Grampus_griseus,Orcinus_orca,Physeter_macrocephalus,Stenella_coeruleoalba,Tursiops_truncatus,background
Delphinus_delphis,0,17,7,0,0,0,0,0,0,0
Globicephala_melas,0,0,0,9,1,0,0,0,0,0
Orcinus_orca,0,0,0,0,0,5,0,0,0,1
Physeter_macrocephalus,0,0,0,0,0,0,4,0,0,0
Tursiops_truncatus,0,0,0,0,0,0,0,0,3,0
background,33,732,194,409,801,206,404,122,1733,31267
