variant,TP,FP,TN,FN,recall,precision,specificity,F1,accuracy
argmax,7070,109054,181978,658,0.9148550724637681,0.060883193827288073,0.6252851920063773,0.11416852372186158,0.6327754719507297
vec,8101,126272,164058,329,0.9609727164887307,0.06028740892887708,0.5650742258808942,0.11345700020307695,0.5762451466059714
pr,4721,84958,202125,6956,0.40429904941337674,0.05264331671851827,0.704064678159278,0.09315679387505427,0.6923483732762084
consensus3,4721,84957,202126,6956,0.40429904941337674,0.05264390374450813,0.7040681614724662,0.09315771298899905,0.692351720444504
consensus2,6744,104362,186996,658,0.9111051067279113,0.06069879214443864,0.6418083594752847,0.11381510109022175,0.6484803855937876
