interval,n_wavs,n_segments,n_cetacean_segs,n_uncertain_segs,model_positive,model_sp_any,model_sp_majority,model_pos_argmax,model_pos_vec,model_pos_pr,exp_positive,date,format,hydrophone,n_hydrophone_detections,source_file,exp_annotated,outcome
251010094458,1,47,0,6,False,,,False,True,False,False,,,,,,False,TN
251010094958,1,47,0,10,False,,,True,True,False,False,,,,,,False,TN
251010095458,1,47,1,15,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251010095958,1,47,0,14,False,,,True,True,False,False,,,,,,False,TN
251010100458,1,47,0,4,False,,,True,True,False,False,,,,,,False,TN
251010100958,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
251010101458,1,47,1,3,True,Oo,Oo,True,True,True,False,,,,,,False,FP
251010101958,1,47,0,3,False,,,True,True,False,False,,,,,,False,TN
251010102458,1,47,0,10,False,,,True,True,False,False,,,,,,False,TN
250925084001,1,47,3,7,True,Oo,Oo,True,True,True,False,,,,,,False,FP
250925084501,1,47,2,9,True,Oo,Oo,True,True,True,False,,,,,,False,FP
250925085000,2,94,3,9,True,Oo,Oo,True,True,True,False,,,,,,False,FP
250925085501,1,47,0,2,False,,,True,True,False,False,,,,,,False,TN
250925090001,1,47,1,12,True,Oo,Oo,True,True,True,False,,,,,,False,FP
250925090500,2,94,0,11,False,,,False,True,False,False,,,,,,False,TN
250925091001,1,47,1,13,True,Oo,Oo,True,True,True,False,,,,,,False,FP
250925091500,2,94,1,29,True,Oo,Oo,True,True,True,False,,,,,,False,FP
250925092001,1,47,0,19,False,,,True,True,False,False,,,,,,False,TN
250925092501,1,47,0,21,False,,,True,True,False,False,,,,,,False,TN
250925093000,2,94,0,9,False,,,True,True,False,False,,,,,,False,TN
250925093500,2,94,0,4,False,,,True,True,False,False,,,,,,False,TN
250925094001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925094501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925095000,2,94,0,0,False,,,False,False,False,False,,,,,,False,TN
250925095501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925100001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925100500,2,94,0,1,False,,,False,True,False,False,,,,,,False,TN
250925101001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925101501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925102001,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925102500,2,94,0,2,False,,,False,True,False,False,,,,,,False,TN
250925103001,1,47,0,2,False,,,False,True,False,False,,,,,,False,TN
250925103501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925104000,2,94,0,4,False,,,False,True,False,False,,,,,,False,TN
250925104501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925105001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925105500,2,94,0,3,False,,,True,True,False,False,,,,,,False,TN
250925110000,2,94,0,1,False,,,True,True,False,False,,,,,,False,TN
250925110501,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925111001,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925111500,2,94,0,36,False,,,True,True,False,False,,,,,,False,TN
250925112001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925112501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925113000,2,94,6,34,True,"Ambig, Oo",Ambig,True,True,True,False,,,,,,False,FP
250925113500,2,94,8,30,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925114001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925114501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925115000,2,94,0,24,False,,,True,True,False,False,,,,,,False,TN
250925115501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925120001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925120500,2,94,5,34,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
250925121001,1,47,0,1,False,,,True,True,False,False,,,,,,False,TN
250925121501,1,47,0,3,False,,,True,True,False,False,,,,,,False,TN
250925122001,1,47,0,8,False,,,True,True,False,False,,,,,,False,TN
250925122500,2,94,3,43,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925123001,1,47,0,1,False,,,True,True,False,False,,,,,,False,TN
250925123500,2,94,5,39,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925124000,2,94,17,29,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925124501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925125001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925125500,2,94,8,31,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925130000,2,94,22,25,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925130501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925131000,2,94,36,11,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925131501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925132000,2,94,27,18,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925132501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925133001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925133500,2,94,18,28,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925134001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925134501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925135000,2,94,4,33,True,Tt,Tt,True,True,True,False,,,,,,False,FP
250925135500,2,94,1,31,True,Tt,Tt,True,True,True,False,,,,,,False,FP
250925140001,1,47,0,2,False,,,True,False,False,False,,,,,,False,TN
250925140500,2,94,13,22,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925141000,2,94,21,25,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
250925141501,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925142001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925142500,2,94,8,38,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
250925143001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925143500,2,94,12,34,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
250925144000,2,94,0,40,False,,,True,True,False,False,,,,,,False,TN
250925144501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925145001,1,47,0,2,False,,,False,True,False,False,,,,,,False,TN
250925145501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925150000,2,94,21,20,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925150501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925151001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925151500,2,94,11,33,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925152001,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925152501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925153001,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925153500,2,94,15,4,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925154001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925154501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925155000,2,94,10,8,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925155501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925160000,2,94,37,9,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925160500,2,94,45,2,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925161000,2,94,46,1,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925161501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925162001,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925162500,2,94,4,22,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925163001,1,47,0,3,False,,,True,True,False,False,,,,,,False,TN
250925163500,2,94,6,29,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925164001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925164501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925165001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925165501,1,47,0,3,False,,,False,True,False,False,,,,,,False,TN
250925170000,2,94,2,14,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925170501,1,47,0,1,False,,,True,True,False,False,,,,,,False,TN
250925171001,1,47,0,3,False,,,True,True,False,False,,,,,,False,TN
250925171500,2,94,23,20,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925172001,1,47,0,2,False,,,False,True,False,False,,,,,,False,TN
250925172501,1,47,0,2,False,,,False,True,False,False,,,,,,False,TN
250925173001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925173500,2,94,29,3,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925174001,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925174501,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925175000,2,94,41,5,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
250925175501,1,47,0,1,False,,,False,True,False,False,,,,,,False,TN
250925180001,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925180501,1,47,0,0,False,,,False,False,False,False,,,,,,False,TN
250925181000,2,94,10,35,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
