variant,TP,FP,TN,FN,recall,precision,specificity,F1,accuracy
argmax,7560,115441,175383,376,0.9526209677419355,0.06146291493565093,0.6030554562209446,0.11547538129023882,0.6123410095059579
vec,9332,143741,145593,94,0.9900275832802886,0.06096437647396993,0.5032004534551764,0.11485609142210106,0.5185600481992234
pr,4745,85223,202212,6580,0.41898454746136865,0.05274097456873555,0.7035051402925879,0.09368860632027878,0.6927199089570224
consensus3,4745,85220,202215,6580,0.41898454746136865,0.05274273328516645,0.7035155774348983,0.09369138118274263,0.6927299504619092
consensus2,7143,109425,181816,376,0.9499933501795451,0.06127753757463455,0.6242802352690727,0.11512890149653067,0.6324775739724193
