held_out,n_test,n_test_classes,avg_binary_val_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_accuracy,test_balanced_acc
MONISH,617,5,0.9198478311995295,0.9811204813743053,0.5450669340968363,0.9918962722852512,0.9851615613022908
ECOSS_testtrain,127,5,0.906449857213403,0.8981132075471698,0.49895178197064993,0.7874015748031497,0.865
ALNITAK_CAVANILLES,745,6,0.9983407997345279,0.03837000224352679,0.025580001495684526,0.022818791946308724,0.0335632048024866
