held_out_ds,variant,note,alpha_distil,gamma_adv,lambda_max,best_val_auc,best_val_f1,test_auc,test_ap,test_f1,best_threshold,training_prevalence,best_epoch,training_min,avg_epoch_s,skipped
ALNITAK_CAVANILLES,v01_grl_distil,binary + distillation + GRL,2.0,1.0,0.2,0.9911552151623569,0.8060075093867334,0.5615403832122576,0.014800720901136705,0.0125,0.3,0.11881568828505511,7,158.61189062992733,173.02710987871345,False
DRYAD,v01_grl_distil,binary + distillation + GRL,2.0,1.0,0.2,0.9749394055364204,0.533625730994152,0.740430150065882,0.7625683789643982,0.6051340559041642,0.075,0.06937348749663888,2,110.59659400383632,120.64820083271374,False
OLTREMARE,v01_grl_distil,binary + distillation + GRL,2.0,1.0,0.2,0.9982685272661806,0.9133489461358314,0.8876183422199798,0.7759390256387084,0.6091425480119016,0.05,0.08657959406571403,5,112.0840483268102,122.26878909197721,False
