class,4,16,32
Balaenoptera_physalus,0.8,1.0,1.0
Delphinidae_unknown,0.27705627705627706,0.5537606837606838,0.7516129032258064
Delphinus_delphis,0.41921175101803376,0.6237874779541446,0.6584302325581395
Globicephala_melas,0.6578087153219295,0.8956209813874789,0.9222691455107358
Grampus_griseus,0.3378831953457149,0.8450053323853537,0.8613485280151947
Orcinus_orca,0.6365109000758088,0.7671498857845721,0.8484051883308715
Physeter_macrocephalus,0.7146428571428571,0.9222903885480572,0.979591836734694
Stenella_coeruleoalba,0.8181818181818181,1.0,1.0
Tursiops_truncatus,0.6196392134833304,0.796015879729774,0.8406297720486777
background,0.6221763123338059,0.4883628601421036,0.45440546524286085
