held_out,n_test,n_test_classes,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_accuracy,test_balanced_acc
ECOSS_testtrain,127,5,0.972946709885799,0.9142857142857143,0.5079365079365079,0.8110236220472441,0.8800000000000001
ALNITAK_CAVANILLES,745,6,0.9879286460354876,0.8285427806491003,0.5523618537660668,0.8671140939597315,0.8402651931743844
MONISH,617,5,0.9745548732439866,0.7939578264395782,0.4410876813553213,0.9497568881685575,0.7891891891891892
