time,signal_amplitude,TK_amplitude
17.1268046875,-0.07961011,-0.07961011
17.139248046875,0.05804181,0.05804181
17.158703125,-0.05811751,-0.05811751
17.1674765625,-0.04788661,-0.04788661
17.200244140625,-0.018116355,-0.018116355
17.210509765625,-0.051253915,-0.051253915
17.359037109375,0.036730766,0.036730766
17.41090234375,-0.14672852,-0.14672852
17.455052734375,0.13855743,0.13855743
17.501359375,0.27875125,0.27875125
17.5434453125,0.49643457,0.49643457
17.580734375,-0.68365264,-0.68365264
17.615521484375,-0.60317683,-0.60317683
17.65164453125,0.5718038,0.5718038
17.7160078125,-0.75717926,-0.75717926
17.7234453125,-0.09045398,-0.09045398
17.745751953125,-0.54509604,-0.54509604
17.773517578125,0.4910767,0.4910767
17.8001171875,-0.5847268,-0.5847268
17.82669140625,-0.37553787,-0.37553787
17.8526484375,0.31308925,0.31308925
17.87759375,0.3180653,0.3180653
17.902087890625,0.16042995,0.16042995
17.926349609375,0.20972347,0.20972347
17.9512109375,0.123862624,0.123862624
17.976318359375,0.17037284,0.17037284
18.00075,0.23398602,0.23398602
18.0252890625,0.32994056,0.32994056
18.050755859375,0.35964596,0.35964596
18.07680859375,0.35579872,0.35579872
18.103734375,0.36049938,0.36049938
18.13275390625,-0.19079804,-0.19079804
18.163482421875,0.060091496,0.060091496
18.1975546875,0.07157624,0.07157624
18.20519140625,0.9485434,0.9485434
18.2378359375,-0.06229174,-0.06229174
18.2849453125,0.058016658,0.058016658
18.34024609375,0.14443398,0.14443398
18.645861328125,0.099882126,0.099882126
18.725900390625,-0.035270452,-0.035270452
18.72918359375,0.10250187,0.10250187
18.7327734375,-0.040979147,-0.040979147
18.7526796875,0.060771942,0.060771942
18.782830078125,0.064457536,0.064457536
18.82070703125,0.036323667,0.036323667
18.824875,-0.0747515,-0.0747515
18.85755078125,0.119089365,0.119089365
18.8721640625,0.05223334,0.05223334
18.881564453125,-0.05340767,-0.05340767
18.892548828125,0.13185966,0.13185966
18.9279453125,0.15615046,0.15615046
18.963052734375,0.088988185,0.088988185
18.993453125,0.12397623,0.12397623
19.021375,0.053864002,0.053864002
19.04569140625,0.09908545,0.09908545
19.0688984375,0.07272911,0.07272911
19.091408203125,-0.050932765,-0.050932765
19.11343359375,-0.059935212,-0.059935212
19.135431640625,0.050595522,0.050595522
19.1573515625,0.084475756,0.084475756
19.168763671875,0.06350255,0.06350255
19.17991796875,0.09667301,0.09667301
19.192296875,0.117920995,0.117920995
19.201724609375,0.09139812,0.09139812
19.21580078125,0.07623637,0.07623637
19.22267578125,0.120594025,0.120594025
19.24019140625,0.11537802,0.11537802
19.242951171875,0.052919507,0.052919507
19.2639140625,0.12722838,0.12722838
19.284408203125,0.07175624,0.07175624
19.28712109375,0.20735896,0.20735896
19.30484765625,0.09140074,0.09140074
19.31003125,0.30480838,0.30480838
19.326357421875,0.111282706,0.111282706
19.33177734375,0.52296925,0.52296925
19.3525078125,0.54071975,0.54071975
19.372103515625,0.4306705,0.4306705
19.38084375,-0.12799942,-0.12799942
19.383529296875,-0.08741844,-0.08741844
19.3906484375,0.38658166,0.38658166
19.40787890625,0.3273474,0.3273474
19.40990625,0.06981623,0.06981623
19.42362109375,0.44035876,0.44035876
19.4392734375,0.19039881,0.19039881
19.454494140625,0.09354329,0.09354329
19.4693203125,-0.22359633,-0.22359633
19.484087890625,0.12829435,0.12829435
19.4988671875,0.17760694,0.17760694
19.513705078125,0.20773208,0.20773208
19.528650390625,0.22537267,0.22537267
19.53295703125,0.005312681,0.005312681
19.535248046875,0.018744469,0.018744469
19.543677734375,0.24052155,0.24052155
19.559001953125,0.28632987,0.28632987
