audio_name,clicks
SCW6070_20220716_194800,16
SCW6070_20220716_194900,3
SCW6070_20220716_195000,22
SCW6070_20220716_195100,28
SCW6070_20220716_195200,56
SCW6070_20220716_195300,23
SCW6070_20220716_195400,72
SCW6070_20220716_195500,17
SCW6070_20220716_195600,21
SCW6070_20220716_195700,24
SCW6070_20220716_195800,106
SCW6070_20220716_195900,
SCW6070_20220716_200000,
SCW6070_20220716_200100,0
SCW6070_20220716_200200,0
SCW6070_20220716_200300,27
SCW6070_20220716_200400,0
SCW6070_20220716_200500,0
SCW6070_20220716_200600,0
SCW6070_20220716_200700,0
SCW6070_20220716_200800,0
SCW6070_20220716_200900,0
SCW6070_20220716_201000,0
SCW6070_20220716_201100,0
SCW6070_20220716_201200,0
SCW6070_20220716_201300,0
SCW6070_20220717_172100,920
SCW6070_20220717_173900,474
SCW6070_20220717_174000,861
SCW6070_20220717_174100,958
SCW6070_20220717_174200,808
SCW6070_20220717_174300,500
SCW6070_20220717_174400,276
SCW6070_20220717_174500,435
SCW6070_20220717_174600,727
SCW6070_20220717_174700,443
SCW6070_20220717_174800,521
SCW6070_20220717_174900,604
SCW6070_20220717_175000,448
SCW6070_20220717_175100,1113
SCW6070_20220717_175200,1431
SCW6070_20220717_175300,266
SCW6070_20220717_175400,69
SCW6070_20220717_175500,24
SCW6070_20220717_181000,247
SCW6070_20220717_182400,22
SCW6070_20220717_182500,583
SCW6070_20220717_182600,558
SCW6070_20220717_184100,270
SCW6070_20220718_172200,23
SCW6070_20220718_172300,21
SCW6070_20220718_172400,10
SCW6070_20220718_174600,367
SCW6070_20220718_174700,786
SCW6070_20220718_174800,827
SCW6070_20220718_174900,442
SCW6070_20220718_175000,440
SCW6070_20220718_175100,197
SCW6070_20220718_175200,460
SCW6070_20220718_182300,2
SCW6070_20220718_185100,54
SCW6070_20220718_185200,93
SCW6070_20220721_071800,
SCW6070_20220721_091600,240
,85987
