wav_path,status,native_sr_hz,duration_s,n_segments,resampled,error_message
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925095000.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925095501.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925100001.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925100500.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925101001.wav,ok,192000,238.99,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925101501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925102001.wav,ok,192000,238.99,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925102500.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925103001.wav,ok,192000,238.99,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925103501.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925104000.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925104501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925105001.wav,ok,192000,238.96,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925105500.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925110000.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925110501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925111001.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925111500.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925112001.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925112501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925113000.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925113500.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925114001.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925114501.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925115000.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925115501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925120001.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925120500.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925121001.wav,ok,192000,238.99,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925121501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925122001.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925122500.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925123001.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925123500.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925124000.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925124501.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925125001.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925125500.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925130000.wav,ok,192000,238.99,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925130501.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925131000.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925131501.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925132000.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925132501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925133001.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925133500.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925134001.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925134501.wav,ok,192000,238.96,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925135000.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925135500.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925140001.wav,ok,192000,238.99,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925140500.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925141000.wav,ok,192000,238.99,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925141501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925142001.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925142500.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925143001.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925143500.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925144000.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925144501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925145001.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925145501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925150000.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925150501.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925151001.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925151500.wav,ok,192000,238.99,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925152001.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925152501.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925153001.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925153500.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925154001.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925154501.wav,ok,192000,238.98,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925155000.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925155501.wav,ok,192000,238.96,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925160000.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925160500.wav,ok,192000,238.97,47,True,
/datos/silvia/Harrapatu_2025/9488/L1/9488.250925161000.wav,ok,192000,238.96,47,True,
