classifier,variant,macro_f1,weighted_f1,ovr_auc,test_acc,train_acc,time_seconds,background_precision,background_recall,background_f1,background_support,delphi_precision,delphi_recall,delphi_f1,delphi_support,gloMel_precision,gloMel_recall,gloMel_f1,gloMel_support,gloMel+turTru_precision,gloMel+turTru_recall,gloMel+turTru_f1,gloMel+turTru_support,graGri_precision,graGri_recall,graGri_f1,graGri_support,phyMac_precision,phyMac_recall,phyMac_f1,phyMac_support,steCoe_precision,steCoe_recall,steCoe_f1,steCoe_support,turTru_precision,turTru_recall,turTru_f1,turTru_support
Logistic Regression,species_only,0.7324515478173459,0.6608747881208814,0.9401847791073942,0.6642156862745098,1.0,1.0164008140563965,0.598,0.516,0.554,153,0.552,0.637,0.592,91,0.696,0.744,0.719,43,0.816,0.969,0.886,32,0.8,0.923,0.857,13,0.857,0.778,0.816,54,1.0,0.5,0.667,4,0.714,0.833,0.769,18
Decision Tree,species_only,0.48423230856596094,0.48663994486496764,0.7083028526885549,0.49264705882352944,0.8496319663512093,1.5286002159118652,0.4,0.327,0.36,153,0.485,0.692,0.57,91,0.643,0.628,0.635,43,0.769,0.625,0.69,32,0.556,0.385,0.455,13,0.551,0.5,0.524,54,0.25,0.25,0.25,4,0.348,0.444,0.39,18
Random Forest,species_only,0.5726650403192819,0.5980375548843608,0.9352250275159766,0.6004901960784313,1.0,1.212540626525879,0.478,0.641,0.547,153,0.557,0.429,0.484,91,0.72,0.837,0.774,43,0.848,0.875,0.862,32,1.0,0.462,0.632,13,0.833,0.556,0.667,54,0.0,0.0,0.0,4,1.0,0.444,0.615,18
SVM (RBF),species_only,0.6965642835727813,0.5834856914738471,0.9368437834482339,0.6397058823529411,0.7318611987381703,3.7860114574432373,0.667,0.183,0.287,153,0.485,0.912,0.634,91,0.683,1.0,0.811,43,0.842,1.0,0.914,32,0.8,0.923,0.857,13,0.762,0.889,0.821,54,1.0,0.25,0.4,4,0.933,0.778,0.848,18
PyTorch MLP (128) drop=0.4,species_only,0.6925290717071512,0.5981849101077592,0.9393160338761672,0.6397058823529411,0.8044554591178894,1.5666711330413818,0.685,0.242,0.357,153,0.5,0.846,0.629,91,0.677,0.977,0.8,43,0.78,1.0,0.877,32,0.75,0.923,0.828,13,0.767,0.852,0.807,54,0.5,0.5,0.5,4,0.765,0.722,0.743,18
PyTorch MLP (64) drop=0.4,species_only,0.7274120614390238,0.6353123157056146,0.9439383044179599,0.6666666666666666,0.8428217768669128,3.2526564598083496,0.687,0.301,0.418,153,0.531,0.846,0.653,91,0.661,0.953,0.781,43,0.816,0.969,0.886,32,0.75,0.923,0.828,13,0.814,0.889,0.85,54,0.667,0.5,0.571,4,0.833,0.833,0.833,18
"PyTorch MLP (256, 128) drop=0.5",species_only,0.7182497861068708,0.6209585176127246,0.9407164673763696,0.6617647058823529,0.7821782231330872,2.5869545936584473,0.714,0.261,0.383,153,0.533,0.879,0.664,91,0.667,0.977,0.792,43,0.842,1.0,0.914,32,0.706,0.923,0.8,13,0.758,0.87,0.81,54,0.667,0.5,0.571,4,0.789,0.833,0.811,18
