classifier,variant,macro_f1,weighted_f1,ovr_auc,test_acc,train_acc,time_seconds,background_precision,background_recall,background_f1,background_support,delphi_clicks_precision,delphi_clicks_recall,delphi_clicks_f1,delphi_clicks_support,gloMel_clicks_precision,gloMel_clicks_recall,gloMel_clicks_f1,gloMel_clicks_support,gloMel_clicks+gloMel_whistles_precision,gloMel_clicks+gloMel_whistles_recall,gloMel_clicks+gloMel_whistles_f1,gloMel_clicks+gloMel_whistles_support,gloMel_clicks+turTru_clicks_precision,gloMel_clicks+turTru_clicks_recall,gloMel_clicks+turTru_clicks_f1,gloMel_clicks+turTru_clicks_support,gloMel_whistles_precision,gloMel_whistles_recall,gloMel_whistles_f1,gloMel_whistles_support,graGri_clicks_precision,graGri_clicks_recall,graGri_clicks_f1,graGri_clicks_support,phyMac_clicks_precision,phyMac_clicks_recall,phyMac_clicks_f1,phyMac_clicks_support,steCoe_clicks_precision,steCoe_clicks_recall,steCoe_clicks_f1,steCoe_clicks_support,turTru_precision,turTru_recall,turTru_f1,turTru_support
Logistic Regression,signal_species,0.7297345965550445,0.6703474540036304,0.9510843280011436,0.6740196078431373,1.0,3.2678191661834717,0.623,0.529,0.572,153,0.558,0.637,0.595,91,0.629,0.815,0.71,27,1.0,0.5,0.667,6,0.816,0.969,0.886,32,0.778,0.7,0.737,10,0.8,0.923,0.857,13,0.863,0.815,0.838,54,1.0,0.5,0.667,4,0.714,0.833,0.769,18
Decision Tree,signal_species,0.41930274312181864,0.47688381167330884,0.7062720192416003,0.4877450980392157,0.8107255520504731,1.4897263050079346,0.474,0.301,0.368,153,0.493,0.747,0.594,91,0.378,0.63,0.472,27,0.5,0.333,0.4,6,0.87,0.625,0.727,32,0.167,0.1,0.125,10,0.5,0.308,0.381,13,0.593,0.593,0.593,54,0.1,0.25,0.143,4,0.348,0.444,0.39,18
Random Forest,signal_species,0.46795232568236267,0.561140716481327,0.9425818896465916,0.5661764705882353,1.0,1.2096450328826904,0.462,0.634,0.534,153,0.553,0.462,0.503,91,0.516,0.593,0.552,27,0.0,0.0,0.0,6,0.818,0.844,0.831,32,1.0,0.2,0.333,10,0.75,0.462,0.571,13,0.821,0.593,0.688,54,0.0,0.0,0.0,4,1.0,0.5,0.667,18
SVM (RBF),signal_species,0.6648391413932673,0.5565494136821458,0.9468028641524476,0.6127450980392157,0.7150368033648791,4.186214447021484,0.591,0.17,0.264,153,0.483,0.912,0.631,91,0.531,0.963,0.684,27,1.0,0.5,0.667,6,0.842,1.0,0.914,32,1.0,0.4,0.571,10,0.75,0.923,0.828,13,0.738,0.889,0.807,54,1.0,0.25,0.4,4,0.938,0.833,0.882,18
PyTorch MLP (128) drop=0.4,signal_species,0.704777480203012,0.614619052087763,0.9493251630388967,0.6446078431372549,0.8415841460227966,2.8940048217773438,0.672,0.294,0.409,153,0.514,0.813,0.63,91,0.578,0.963,0.722,27,0.8,0.667,0.727,6,0.8,1.0,0.889,32,0.6,0.6,0.6,10,0.8,0.923,0.857,13,0.793,0.852,0.821,54,0.667,0.5,0.571,4,0.762,0.889,0.821,18
PyTorch MLP (64) drop=0.4,signal_species,0.716813847366317,0.6237219851683101,0.9496715321865391,0.6470588235294118,0.8254950642585754,3.9297614097595215,0.671,0.32,0.434,153,0.514,0.802,0.627,91,0.553,0.963,0.703,27,1.0,0.667,0.8,6,0.8,1.0,0.889,32,0.778,0.7,0.737,10,0.8,0.923,0.857,13,0.782,0.796,0.789,54,0.4,0.5,0.444,4,0.889,0.889,0.889,18
"PyTorch MLP (256, 128) drop=0.5",signal_species,0.6997314511032592,0.5726739425045934,0.9472044618619858,0.6274509803921569,0.771039605140686,2.964885711669922,0.667,0.183,0.287,153,0.494,0.89,0.635,91,0.553,0.963,0.703,27,0.8,0.667,0.727,6,0.78,1.0,0.877,32,0.75,0.6,0.667,10,0.75,0.923,0.828,13,0.778,0.907,0.838,54,0.667,0.5,0.571,4,0.842,0.889,0.865,18
