n_shots,classifier,trial,accuracy,macro_f1,roc_auc,time_s
4,Logistic Regression,0,0.7803168799512492,0.7249036974259442,0.8853292062176251,0.0657358169555664
4,Logistic Regression,1,0.8668494820231566,0.8555213714405907,0.9355230731222272,0.06171870231628418
4,Logistic Regression,2,0.8415600243753809,0.8363426302400585,0.9267107554786033,0.0651237964630127
4,Logistic Regression,3,0.7336989640463132,0.6577582191440865,0.8551513060238601,0.05229353904724121
4,Logistic Regression,4,0.8513101767215113,0.8336264094245293,0.9302075059875166,0.0610964298248291
4,Logistic Regression,5,0.8729433272394881,0.8657641458051406,0.9399084057994687,0.06728458404541016
4,Logistic Regression,6,0.8494820231566118,0.8324646434251817,0.8915353972995431,0.0601506233215332
4,Logistic Regression,7,0.8153564899451554,0.8065039226674138,0.8928919551870371,0.06076526641845703
4,Logistic Regression,8,0.8528336380255942,0.8448386281836859,0.9216691950695124,0.060549259185791016
4,Logistic Regression,9,0.8567946374162096,0.8455926426126429,0.9238734995477461,0.0619044303894043
4,Decision Tree,0,0.5843997562461913,0.46389940203976154,0.4856930512139396,0.019143342971801758
4,Decision Tree,1,0.5435709932967703,0.496032375715753,0.4960689631234316,0.01879405975341797
4,Decision Tree,2,0.534430225472273,0.4962084757674768,0.4965071288709575,0.019560813903808594
4,Decision Tree,3,0.5591102985984155,0.5038856624586746,0.5043816574752588,0.012824058532714844
4,Decision Tree,4,0.7251675807434491,0.660096621729923,0.6525925487321573,0.019151687622070312
4,Decision Tree,5,0.5118829981718465,0.5110434009843553,0.576611422936119,0.018629789352416992
4,Decision Tree,6,0.8107861060329068,0.7871829798342361,0.781339570287217,0.019141674041748047
4,Decision Tree,7,0.6087751371115173,0.4577649677676699,0.4947454820537845,0.019259929656982422
4,Decision Tree,8,0.692260816575259,0.6739384472528683,0.6827749408394569,0.018702030181884766
4,Decision Tree,9,0.7404021937842779,0.7246922968773445,0.7351085920097026,0.01993250846862793
4,Random Forest,0,0.7318708104814138,0.6112808447982083,0.9095998317574204,1.1754186153411865
4,Random Forest,1,0.8449116392443632,0.8205621727455554,0.9336942517799207,1.1955978870391846
4,Random Forest,2,0.8025594149908593,0.7815416221546553,0.8867233328365005,1.2616631984710693
4,Random Forest,3,0.6715417428397319,0.4744060097833683,0.8663233075184423,1.1329879760742188
