variant,TP,FP,TN,FN,recall,precision,specificity,F1,accuracy
argmax,7938,29978,78354,1380,0.8518995492594977,0.2093575271653128,0.7232765941734668,0.3361138163187534,0.7334636634084147
vec,15266,42085,60179,120,0.9922007019368256,0.26618541960907394,0.5884671047484941,0.4197588572528424,0.6412664683382916
pr,2045,16304,83221,16080,0.11282758620689655,0.11145021527058695,0.8361818638533032,0.11213467127268739,0.7247428814279643
consensus3,2044,16304,83222,16080,0.11277863606267932,0.11140178766078046,0.8361835098366256,0.11208598376837024,0.7247428814279643
consensus2,5981,27461,81328,2880,0.6749802505360569,0.17884695891394056,0.747575582090101,0.28276954353119166,0.7421079473013175
