interval,n_wavs,n_segments,n_cetacean_segs,n_uncertain_segs,model_positive,model_sp_any,model_sp_majority,model_pos_argmax,model_pos_vec,model_pos_pr,exp_positive,exp_top_species,n_wavs_annotated,source,sum_exp_Ambig,sum_exp_Bb,sum_exp_Dc,sum_exp_Dd,sum_exp_Gg,sum_exp_Gm,sum_exp_Lo,sum_exp_Oo,sum_exp_Pm,sum_exp_Sc,sum_exp_Tt,sum_exp_Zc,exp_annotated,outcome
240528181000,5,60,1,3,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528181500,5,60,0,0,False,,,False,False,False,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,TN
240528182000,5,60,5,17,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528182500,5,60,24,26,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528183000,5,60,31,24,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528183500,5,60,11,28,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528184000,5,60,9,29,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528184500,5,60,32,28,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528185000,5,60,39,21,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528185500,5,60,48,12,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528190000,5,60,16,37,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528190500,5,60,10,40,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528191000,5,60,14,31,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528191500,5,60,36,21,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528192000,5,60,20,26,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528192500,5,60,12,34,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528193000,5,60,8,36,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528193500,5,60,5,30,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528194000,5,60,13,37,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528194500,5,60,17,36,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528195000,5,60,15,34,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528195500,5,60,7,41,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528200000,5,60,19,35,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528200500,5,60,23,31,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528201000,5,60,10,38,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528201500,5,60,9,35,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528202000,5,60,29,27,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528202500,5,60,45,15,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528203000,5,60,27,30,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528203500,5,60,15,38,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528204000,5,60,4,36,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528204500,5,60,27,31,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528205000,5,60,17,33,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528205500,5,60,20,37,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528210000,5,60,12,41,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528210500,5,60,9,41,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528211000,5,60,3,30,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528211500,5,60,16,42,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
