n_shots,classifier,trial,accuracy,macro_f1,roc_auc,time_s
4,Logistic Regression,0,0.6832191780821918,0.6220822124321853,0.7804761751748166,0.04924654960632324
4,Logistic Regression,1,0.6232876712328768,0.5792765822052529,0.7278666294542455,0.057913780212402344
4,Logistic Regression,2,0.5077054794520548,0.48685904115724554,0.6707390819922231,0.05916762351989746
4,Logistic Regression,3,0.3441780821917808,0.35405927132318427,0.6095316866434723,0.04268503189086914
4,Logistic Regression,4,0.6875,0.6257326443127779,0.7879679456428399,0.04192614555358887
4,Logistic Regression,5,0.4571917808219178,0.4372278876180262,0.7405482092359141,0.05275416374206543
4,Logistic Regression,6,0.6412671232876712,0.5861152306581797,0.7909616739774045,0.05867719650268555
4,Logistic Regression,7,0.6583904109589042,0.5905894146693934,0.7782657108961921,0.054810523986816406
4,Logistic Regression,8,0.6292808219178082,0.5750418518951793,0.7704008880313518,0.06178998947143555
4,Logistic Regression,9,0.6061643835616438,0.5609784438675115,0.7562998351941691,0.053864479064941406
4,Decision Tree,0,0.4743150684931507,0.45882474033993187,0.6217515359934082,0.019118547439575195
4,Decision Tree,1,0.4195205479452055,0.3534199201882129,0.5020562933933658,0.018941164016723633
4,Decision Tree,2,0.598458904109589,0.5044644940569144,0.6298461445054933,0.018832683563232422
4,Decision Tree,3,0.4700342465753425,0.41314609359852145,0.6013414485824239,0.01884150505065918
4,Decision Tree,4,0.5419520547945206,0.5067563896930501,0.6543367408293552,0.01859736442565918
4,Decision Tree,5,0.398972602739726,0.3724170476238744,0.6002020730069336,0.01871323585510254
4,Decision Tree,6,0.4546232876712329,0.4418454870174721,0.6258832218738837,0.01871943473815918
4,Decision Tree,7,0.4708904109589041,0.40871243494765935,0.6225272564159169,0.01870250701904297
4,Decision Tree,8,0.4957191780821918,0.43172060288936603,0.581957584271146,0.01860976219177246
4,Decision Tree,9,0.5393835616438356,0.4440757075378836,0.616223035178898,0.018858671188354492
4,Random Forest,0,0.6592465753424658,0.5887318570394936,0.7682806939591503,1.2726948261260986
4,Random Forest,1,0.6113013698630136,0.5471627300187717,0.7197459072786521,1.2382168769836426
4,Random Forest,2,0.4683219178082192,0.46511261221091954,0.6850736042807104,1.1781775951385498
4,Random Forest,3,0.3972602739726027,0.3934480140223358,0.6789589413197444,1.2209851741790771
4,Random Forest,4,0.6892123287671232,0.6167631471461983,0.8038676548180531,1.2605431079864502
4,Random Forest,5,0.5205479452054794,0.46485142437072363,0.7375182764564526,1.2223832607269287
4,Random Forest,6,0.6053082191780822,0.5398234254240092,0.7779965316981661,1.2094409465789795
4,Random Forest,7,0.6327054794520548,0.585282707896419,0.7745526851950615,1.2144858837127686
4,Random Forest,8,0.6232876712328768,0.5480777187423346,0.7528047454534399,1.1888377666473389
4,Random Forest,9,0.5967465753424658,0.5518325702435999,0.7411482685175629,1.3264684677124023
4,SVM (RBF),0,0.6532534246575342,0.5865409611032782,0.5605478017350983,0.03606557846069336
4,SVM (RBF),1,0.648972602739726,0.5674801542321133,0.29144112055447935,0.040650129318237305
4,SVM (RBF),2,0.4974315068493151,0.46979227450104055,0.3397593807159217,0.0386812686920166
4,SVM (RBF),3,0.3381849315068493,0.31952967301772256,0.3003908898112022,0.039372920989990234
4,SVM (RBF),4,0.6626712328767124,0.5921780039646912,0.2306938977770372,0.041193485260009766
4,SVM (RBF),5,0.5034246575342466,0.5054479556259808,0.2885046035518429,0.0393829345703125
4,SVM (RBF),6,0.5976027397260274,0.5513781050795119,0.6062318758298427,0.03860902786254883
4,SVM (RBF),7,0.6532534246575342,0.5609081034463496,0.2547452309828571,0.03943061828613281
4,SVM (RBF),8,0.6070205479452054,0.5509209678695021,0.2584751467768344,0.040549516677856445
4,SVM (RBF),9,0.5077054794520548,0.5059087199906367,0.635151942153187,0.0358738899230957
4,Nearest Centroid,0,0.6678082191780822,0.6074192156841011,0.7434182369772957,0.13350224494934082
