n_shots,classifier,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std,time_mean,time_std
4,Decision Tree,0.4863869863013699,0.059923963974126644,0.4335382917892886,0.04988998563118759,0.6056125334050824,0.04131497149303916,0.018793487548828126,0.00015915892924032099
4,Logistic Regression,0.5838184931506849,0.11198744320746874,0.5417962580138936,0.08813620356992002,0.7413057836242629,0.05882178743195325,0.05328354835510254,0.006815654041143338
4,Nearest Centroid,0.6148972602739726,0.071638445961685,0.561297782987933,0.05499317373115384,0.7455034454340289,0.030211034218427815,0.07193739414215088,0.021734506448973314
4,Random Forest,0.5803938356164384,0.09077357010545963,0.5301086207114805,0.06858005333912638,0.7439947308976993,0.04038909059324381,1.2332233905792236,0.043726479225307514
4,SVM (RBF),0.5669520547945205,0.10437311436750887,0.5210084918830826,0.08070193221965255,0.37659418898883035,0.15835447167306665,0.038980937004089354,0.0017963127731272118
8,Decision Tree,0.46211072664359865,0.0940728643147156,0.44066053182610077,0.07743501667265726,0.5947919880695258,0.06191193044205423,0.024962520599365233,0.0022490257311203643
8,Logistic Regression,0.6001730103806229,0.07896259814849184,0.5757750996440771,0.061823300532206055,0.7632234211179072,0.04675259910533913,0.05392110347747803,0.007558971107432891
8,Nearest Centroid,0.6505190311418685,0.04155051598164948,0.6023487649889664,0.03398851867802448,0.7800738628861877,0.016837788098453804,0.06002805233001709,0.0036043007346168504
8,Random Forest,0.6376297577854672,0.06189061988085563,0.5975661153555368,0.049115304111426915,0.7810002928274253,0.022595155134369944,1.2149977922439574,0.06964344956368138
8,SVM (RBF),0.6032871972318339,0.056384457896612034,0.565652737955072,0.04185903335333274,0.5354496586347779,0.17746659752082553,0.05889184474945068,0.0016432812885140815
16,Decision Tree,0.5197879858657244,0.06105455376493129,0.49157308929773275,0.05123953544128743,0.6276882845824096,0.0432738857694487,0.04550058841705322,0.003594355372371644
16,Logistic Regression,0.6560070671378092,0.03620399582419842,0.630843224235216,0.0346691482731492,0.8095779532992682,0.023978991245789567,0.06609153747558594,0.009063345305805479
16,Nearest Centroid,0.6548586572438162,0.0581669788513544,0.6042054657147379,0.04177628869206134,0.7829535298107044,0.016804033593650125,0.05569489002227783,0.0045455217509360905
16,Random Forest,0.6626325088339222,0.04109108749583823,0.6328821243599069,0.032141924623512196,0.8115322836480109,0.012671058002410295,1.2208875179290772,0.03346832014132528
16,SVM (RBF),0.6396643109540636,0.05899203949780928,0.6040279048394354,0.04103345010188251,0.7667221973272134,0.050109743203921184,0.10003476142883301,0.0056867345192688065
32,Decision Tree,0.559870848708487,0.05082729108104259,0.5376067304203013,0.04417498612704484,0.666502558364986,0.026936757956928223,0.10137000083923339,0.0065938418860703295
32,Logistic Regression,0.6872693726937269,0.030425716127832788,0.6634782811463383,0.027296039721953918,0.8324400897535182,0.01170571399364674,0.08210296630859375,0.004975091090925604
32,Nearest Centroid,0.6913284132841329,0.016032680715068026,0.6238869987126155,0.017203217296846148,0.7924417804837851,0.008566698228912475,0.051472806930541994,0.002716332849587724
32,Random Forest,0.7283210332103321,0.02638530489195958,0.694277011272949,0.024704912052048233,0.834645163289521,0.011366858577433463,1.1675768613815307,0.04633671764439653
32,SVM (RBF),0.7153136531365314,0.025925992566815978,0.6728690984293115,0.02394428266300031,0.8247307143555412,0.011859911867874495,0.1851194143295288,0.008553828181457555
64,Decision Tree,0.580668016194332,0.031450980382739496,0.5511630093522306,0.023213301632103396,0.6777240411033515,0.01812216263072382,0.1937476396560669,0.011317757132443571
64,Logistic Regression,0.6991902834008097,0.02323187476035636,0.6679351936054772,0.02201438829033289,0.8422673511434855,0.009540240681438841,0.1136012077331543,0.006319487886432734
64,Nearest Centroid,0.695242914979757,0.011894327567143793,0.6187965752968064,0.014026348136451578,0.7948202202957194,0.01186176003426136,0.04820616245269775,0.001118956534553107
64,Random Forest,0.7431174089068826,0.014264513806164513,0.707915354112938,0.014167230905344653,0.8479274502720511,0.013213091074606711,1.0204058647155763,0.034403973770522706
64,SVM (RBF),0.732085020242915,0.02157160980494591,0.6929285872118205,0.021020640362716086,0.8487717059513793,0.013642598550524887,0.39293274879455564,0.010161028754953312
128,Decision Tree,0.6062814070351759,0.03201368324685881,0.5503106414359549,0.024604912897012828,0.6883071328552798,0.019932699849113472,0.4361905336380005,0.021918743384797632
128,Logistic Regression,0.6937185929648242,0.02468059245037437,0.6414798253969117,0.019774264006562438,0.8507966265269497,0.008803577337297573,0.14207308292388915,0.006559030835659696
128,Nearest Centroid,0.6983668341708543,0.01611493448015252,0.5919219231875041,0.020841506971966135,0.7920977425269833,0.00898277775430419,0.042376017570495604,0.0024809614345083094
128,Random Forest,0.7508793969849246,0.0172053995524638,0.6931781519021707,0.016011998761113404,0.8531844163489906,0.008846634149190853,0.8751427412033081,0.03151571404518335
128,SVM (RBF),0.7516331658291457,0.016771866503336463,0.6909158746518903,0.013705314645029356,0.8688218029074095,0.009594372554391141,0.8969893217086792,0.027799939611163112
