level,held_out,n_test,n_val_species,n_classes_test,temperature,argmax_macro_f1,temp_macro_f1,vec_macro_f1,pr_thresh_macro_f1,delta_temp,delta_vec,delta_pr_thresh,argmax_sp_recall,temp_sp_recall,vec_sp_recall,pr_thresh_sp_recall,argmax_sp_prec,temp_sp_prec,vec_sp_prec,pr_thresh_sp_prec,argmax_sp_f1,temp_sp_f1,vec_sp_f1,pr_thresh_sp_f1,argmax_inter_conf,vec_inter_conf,pr_thresh_inter_conf,argmax_hallucin,vec_hallucin,pr_thresh_hallucin,sp_n_rows
L2-coarse,DOLPHINFREE,3290,8439,2,1.054,0.7646560640814435,0.7646560640814435,0.7306921162857367,0.8031385938424632,0.0,-0.03396394779570677,0.038482529761019735,0.9547826086956521,0.9547826086956521,0.9652173913043478,0.928695652173913,1.0,1.0,1.0,1.0,0.9768683274021353,0.9768683274021353,0.9823008849557522,0.9630297565374211,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,0.0026086956521739132,1150
L2-coarse,DRYAD,6770,7639,2,1.209,0.7262170337015657,0.7262170337015657,0.7056092705815441,0.7554935059520878,0.0,-0.02060776312002155,0.0292764722505221,0.8425925925925926,0.8425925925925926,0.857681755829904,0.8000685871056241,1.0,1.0,1.0,1.0,0.914572864321608,0.914572864321608,0.9233893298873915,0.8889312249952371,0.06893004115226338,0.06858710562414266,0.059670781893004114,0.06893004115226338,0.06858710562414266,0.059670781893004114,2916
L2-coarse,OLTREMARE,16860,6700,2,1.237,0.8108892217600653,0.8108892217600653,0.7951507444996972,0.8168051493024857,0.0,-0.015738477260368033,0.005915927542420429,0.6473829201101928,0.6473829201101928,0.6993801652892562,0.6212121212121212,1.0,1.0,1.0,1.0,0.7859531772575251,0.7859531772575251,0.8231003039513678,0.7663551401869159,0.0,0.0,0.0,0.0,0.0,0.0,2904
L2-coarse,DCLDE_2026,174538,5822,2,1.16,0.46515620278808256,0.46515620278808256,0.4649706419291725,0.4886893149221102,0.0,-0.00018556085891008323,0.023533112134027645,0.5788624631268436,0.5788624631268436,0.5942109144542773,0.5522676991150443,1.0,1.0,1.0,1.0,0.7332652167566779,0.7332652167566779,0.7454608534751938,0.7115624443256725,0.008757374631268437,0.012168141592920354,0.00497787610619469,0.008757374631268437,0.012168141592920354,0.00497787610619469,21696
L2-coarse,Adriatic_Sea,1180,6934,2,1.278,0.6759183855958049,0.6759183855958049,0.707344153945713,0.6011519514967791,0.0,0.03142576834990818,-0.07476643409902572,0.6422505307855626,0.6422505307855626,0.6878980891719745,0.5329087048832272,1.0,1.0,1.0,1.0,0.7821590174531351,0.7821590174531351,0.8150943396226416,0.6952908587257618,0.0,0.0,0.0,0.0,0.0,0.0,942
L2-coarse,WATKINS,1877,7821,2,1.3,0.4132985658409387,0.4132985658409387,0.43567251461988304,0.39216569113012156,0.0,0.02237394877894433,-0.02113287471081715,0.3522222222222222,0.3522222222222222,0.3862962962962963,0.3225925925925926,0.5,0.5,0.49952107279693486,0.5,0.4132985658409387,0.4132985658409387,0.43567251461988304,0.39216569113012156,0.2775705913692062,0.2924880127863612,0.005327650506126798,0.2770378263185935,0.2914224826851359,0.005327650506126798,1877
L2-coarse,MONISH,617,7820,2,1.175,0.400396432111001,0.400396432111001,0.4156219864995178,0.3761658031088083,0.0,0.015225554388516804,-0.024230629002192694,0.3435374149659864,0.3435374149659864,0.3664965986394558,0.3086734693877551,0.47980997624703087,0.47980997624703087,0.4799554565701559,0.48143236074270557,0.400396432111001,0.400396432111001,0.4156219864995178,0.3761658031088083,0.13290113452188007,0.13614262560777957,0.09238249594813615,0.10372771474878444,0.1053484602917342,0.06969205834683954,617
L2-coarse,ECOSS_annot,752,6859,2,1.071,0.1767881241565452,0.1767881241565452,0.18238213399503722,0.18562874251497005,0.0,0.005594009838492009,0.00884061835842484,0.1405579399141631,0.1405579399141631,0.157725321888412,0.13304721030042918,0.2381818181818182,0.2381818181818182,0.2161764705882353,0.3069306930693069,0.1767881241565452,0.1767881241565452,0.18238213399503722,0.18562874251497005,0.19946808510638298,0.2646276595744681,0.1077127659574468,0.007978723404255319,0.007978723404255319,0.003989361702127659,752
L2-coarse,ECOSS_testtrain,36044,4197,3,1.134,0.06589289776415175,0.06589289776415175,0.054183094578752346,0.08192788061313194,0.0,-0.011709803185399402,0.016034982848980195,0.4330857537403626,0.4330857537403626,0.4488337852364256,0.4055266986222524,0.527363184079602,0.527363184079602,0.5044059673803819,0.5473345588235294,0.05150380332335924,0.05150380332335924,0.008756044978207866,0.08480343686216503,0.05695301376364499,0.38096226862838156,0.02936639772187945,0.0005932605600379687,0.0005932605600379687,0.00014831514000949216,33712
