decoder,group,precision,recall,recall_lo,recall_hi,f1,support,overall_acc
y_argmax,delphinid,0.23737320594301106,0.7349884338448506,0.7300217249857339,0.739896326778914,0.35885117991871407,30693,0.6525480609877362
y_argmax,non_delphinid,0.0,0.0,0.0,0.002671782482854857,0.0,1434,0.6525480609877362
y_argmax,background,0.9398637636340842,0.6449269474700453,0.6428738257707473,0.6469747474357793,0.7649508087991451,209233,0.6525480609877362
y_vec,delphinid,0.13947648353142897,0.935555338350764,0.9327534236042155,0.9382482367099191,0.24276112778458808,30693,0.24436112031819687
y_vec,non_delphinid,0.0018484288354898336,0.003486750348675035,0.001490200896861992,0.008136450606335579,0.0024160425223483935,1434,0.24436112031819687
y_vec,background,0.9231496735615352,0.14461867869791095,0.14311813450802008,0.1461322725292844,0.25006301366466815,209233,0.24436112031819687
y_pr_thresh,delphinid,0.455873961833513,0.4685433160655524,0.4629648888664622,0.4741296166477467,0.4621218207233407,30693,0.8547895260192244
y_pr_thresh,non_delphinid,0.0,0.0,0.0,0.002671782482854857,0.0,1434,0.8547895260192244
y_pr_thresh,background,0.9158717509460252,0.9173074992950443,0.916119688945671,0.9184799860668199,0.9165890628805571,209233,0.8547895260192244
y_con2,delphinid,0.2377539536812178,0.6538950249242498,0.6485538251171983,0.6591977059067622,0.34871598846300866,30693,0.6809910507126284
y_con2,non_delphinid,0.0,0.0,0.0,0.002671782482854857,0.0,1434,0.6809910507126284
y_con2,background,0.9276910910949524,0.6896330884707479,0.6876472381698423,0.69161197542364,0.7911419125266603,209233,0.6809910507126284
y_con3,delphinid,0.46560155412647375,0.4529045710748379,0.4473418861837961,0.4584790436150532,0.459165304133842,30693,0.8578596287703016
y_con3,non_delphinid,0.0,0.0,0.0,0.002671782482854857,0.0,1434,0.8578596287703016
y_con3,background,0.914194840047141,0.9231430988419609,0.9219939689786543,0.924276690843808,0.9186471794042529,209233,0.8578596287703016
