held_out,n_test,n_test_classes,val_macro_f1,test_macro_f1 (test-only),test_macro_f1 (full vocab),test_accuracy,test_balanced_acc
ECOSS_testtrain,127,5,0.9396438705399367,0.9142857142857143,0.5079365079365079,0.8110236220472441,0.8800000000000001
MONISH,617,5,0.9648226602507743,0.8033462460499073,0.4463034700277263,0.3695299837925446,0.7929268876042025
ALNITAK_CAVANILLES,745,6,0.997392290249433,0.7117957210101169,0.47453048067341125,0.6536912751677852,0.6658164172013917
