Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Delta Time (s)	Begin Date Time	End Date Time	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	signalType	species	quality	deploymentType	deploymentID	selectionID
1	Spectrogram 1	1	B_D08_20231117_144900.WAV	B_D08_20231117_145700.WAV	38.279600143	494.639513851	456.3599	2023-11-17 14:49:38.2796	2023-11-17 14:57:54.6395	13006.452	59148.387	14625	clicks	Stenella coeruleoalba	high	boat_based_surveys	B_D08	B_D08_sel_01_steCoe_clicks
2	Spectrogram 1	1	B_D08_20231117_145100.WAV	B_D08_20231117_145100.WAV	153.840454326	155.35645412	1.516	2023-11-17 14:51:43.8405	2023-11-17 14:51:45.3564	8747.578	26708.868	21375	whistles	Stenella coeruleoalba	high	boat_based_surveys	B_D08	B_D08_sel_02_steCoe_whistles
3	Spectrogram 1	1	B_D08_20231117_145100.WAV	B_D08_20231117_145100.WAV	156.179684315	157.287584458	1.1079	2023-11-17 14:51:46.1796	2023-11-17 14:51:47.2876	6406.115	24367.405	21375	whistles	Stenella coeruleoalba	high	boat_based_surveys	B_D08	B_D08_sel_03_steCoe_whistles
4	Spectrogram 1	1	B_D08_20231117_145100.WAV	B_D08_20231117_145100.WAV	157.887371327	158.664816446	0.7774	2023-11-17 14:51:47.8874	2023-11-17 14:51:48.6648	7075.104	25421.603	21375	whistles	Stenella coeruleoalba	high	boat_based_surveys	B_D08	B_D08_sel_04_steCoe_whistles
5	Spectrogram 1	1	B_D08_20231117_145100.WAV	B_D08_20231117_145100.WAV	158.960559731	159.837859516	0.8773	2023-11-17 14:51:48.9606	2023-11-17 14:51:49.8379	7029.318	33779.045	16875	whistles	Stenella coeruleoalba	high	boat_based_surveys	B_D08	B_D08_sel_05_steCoe_whistles
6	Spectrogram 1	1	B_D08_20231117_145200.WAV	B_D08_20231117_145200.WAV	189.192101702	190.708101972	1.516	2023-11-17 14:52:24.1921	2023-11-17 14:52:25.7081	7472.813	37349.487	21000	whistles	Stenella coeruleoalba	high	boat_based_surveys	B_D08	B_D08_sel_06_steCoe_whistles
7	Spectrogram 1	1	B_D08_20231117_145200.WAV	B_D08_20231117_145200.WAV	196.321580874	198.837681043	2.5161	2023-11-17 14:52:31.3216	2023-11-17 14:52:33.8377	7075.104	25036.394	19125	whistles	Stenella coeruleoalba	high	boat_based_surveys	B_D08	B_D08_sel_07_steCoe_whistles
8	Spectrogram 1	1	B_D08_20231117_145200.WAV	B_D08_20231117_145200.WAV	213.613701097	214.837242075	1.2235	2023-11-17 14:52:48.6137	2023-11-17 14:52:49.8372	7693.38	27712.352	16125	whistles	Stenella coeruleoalba	high	boat_based_surveys	B_D08	B_D08_sel_08_steCoe_whistles
