deployment_id,wav_path,reason
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528104958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528105958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528110958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528111958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528112958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528113958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528114958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115258.wav,serial_mismatch_6335_expected_6338
